RecordID,Department,Country,RiskCategory,ControlID,ControlName,ControlOwner,TestDate,TestResult,Severity,IssueLogged,IssueStatus,DaysOpen,AuditCycle,RiskScore,RemediationDueDate,ActionOwner,ActionProgress,Comments
RC001,HR,Canada,Compliance,CTRL-093,Expense Authorization,Lucy Wanjiku,2014-07-06,Fail,Low,Yes,Closed,87,Q3 2014,83,2014-09-23,David Njoroge,78,No issues found
RC002,IT,Germany,IT Security,CTRL-083,Payroll Validation,John Doe,2013-04-09,Pass,,No,,0,Q2 2013,25,,,,Follow-up scheduled
RC003,HR,France,Operational,CTRL-026,Expense Authorization,Grace Mwangi,2013-07-16,Pass,,No,,0,Q3 2013,24,,,,Control design effective
RC004,Legal,Germany,IT Security,CTRL-085,AML Monitoring,Peter Otieno,2014-10-01,Fail,Low,Yes,In Progress,28,Q4 2014,29,2014-10-31,David Njoroge,83,Pending management approval
RC005,Compliance,Mexico,Operational,CTRL-060,Vendor Approval Process,Ali Hassan,2014-07-26,Fail,Medium,Yes,Closed,7,Q3 2014,54,2014-09-27,Mary Achieng,93,Awaiting vendor response
RC006,Compliance,Germany,Compliance,CTRL-010,Data Backup Verification,Peter Otieno,2013-04-10,Pass,,No,,0,Q2 2013,49,,,,Control design effective
RC007,Procurement,Germany,Financial,CTRL-025,Fraud Risk Assessment,Lucy Wanjiku,2013-09-12,Pass,,No,,0,Q3 2013,91,,,,Need system update
RC008,Operations,Canada,IT Security,CTRL-096,Expense Authorization,Lucy Wanjiku,2014-08-14,Fail,High,Yes,In Progress,89,Q3 2014,74,2014-11-08,Mary Achieng,21,Follow-up scheduled
RC009,Operations,France,IT Security,CTRL-065,Payroll Validation,Lucy Wanjiku,2013-06-11,Fail,Medium,Yes,In Progress,70,Q2 2013,61,2013-09-03,Ali Hassan,52,Need system update
RC010,Procurement,Germany,Compliance,CTRL-078,Data Backup Verification,Peter Otieno,2014-07-13,Pass,,No,,0,Q3 2014,68,,,,Control design effective
RC011,Legal,Mexico,Compliance,CTRL-047,AML Monitoring,Grace Mwangi,2014-02-11,Pass,,No,,0,Q1 2014,24,,,,No issues found
RC012,Operations,Canada,Operational,CTRL-067,Access Review,Ali Hassan,2013-01-07,Fail,Low,Yes,Open,109,Q1 2013,60,2013-02-07,Ali Hassan,70,Control design effective
RC013,Operations,Mexico,Strategic,CTRL-119,Physical Asset Protection,Jane Smith,2013-04-07,Pass,,No,,0,Q2 2013,78,,,,No issues found
RC014,HR,Germany,Financial,CTRL-034,Payroll Validation,Peter Otieno,2013-09-13,Pass,,No,,0,Q3 2013,52,,,,No issues found
RC015,Finance,Canada,Strategic,CTRL-052,Physical Asset Protection,Jane Smith,2013-03-21,Fail,Medium,Yes,Open,62,Q1 2013,93,2013-06-11,Mary Achieng,76,Need system update
RC016,IT,United,Operational,CTRL-094,Physical Asset Protection,Grace Mwangi,2013-03-22,Pass,,No,,0,Q1 2013,62,,,,No issues found
RC017,Compliance,States,IT Security,CTRL-054,Expense Authorization,Jane Smith,2014-10-31,Pass,,No,,0,Q4 2014,68,,,,Awaiting vendor response
RC018,IT,of,Strategic,CTRL-006,Payroll Validation,Peter Otieno,2014-08-02,Pass,,No,,0,Q3 2014,61,,,,Control design effective
RC019,Legal,America,Financial,CTRL-020,Vendor Approval Process,Lucy Wanjiku,2014-02-07,Fail,High,Yes,Closed,64,Q1 2014,31,2014-03-23,Grace Mwangi,37,Pending management approval
RC020,HR,Canada,Financial,CTRL-044,Expense Authorization,Grace Mwangi,2014-08-09,Pass,,No,,0,Q3 2014,90,,,,Pending management approval
RC021,IT,Mexico,Operational,CTRL-052,Fraud Risk Assessment,Grace Mwangi,2014-12-16,Pass,,No,,0,Q4 2014,37,,,,Pending management approval
RC022,Operations,Canada,Financial,CTRL-063,Procurement Policy Adherence,Lucy Wanjiku,2014-08-09,Pass,,No,,0,Q3 2014,91,,,,Control design effective
RC023,Legal,Germany,Strategic,CTRL-032,Data Backup Verification,John Doe,2013-09-30,Fail,Medium,Yes,Closed,118,Q3 2013,93,2013-11-04,Mary Achieng,85,Pending management approval
RC024,Procurement,Germany,Compliance,CTRL-045,Data Backup Verification,Ali Hassan,2013-12-19,Pass,,No,,0,Q4 2013,59,,,,Follow-up scheduled
RC025,IT,Mexico,Strategic,CTRL-106,AML Monitoring,Peter Otieno,2013-05-30,Fail,Low,Yes,Open,25,Q2 2013,67,2013-07-08,Mary Achieng,14,Need system update
RC026,Finance,France,Financial,CTRL-080,Access Review,Ali Hassan,2013-01-15,Fail,High,Yes,Open,39,Q1 2013,77,2013-03-16,Mary Achieng,42,Follow-up scheduled
RC027,Legal,Mexico,Strategic,CTRL-028,Data Backup Verification,Peter Otieno,2014-06-20,Fail,High,Yes,In Progress,79,Q2 2014,38,2014-09-02,Mary Achieng,48,Control design effective
RC028,Legal,Mexico,Strategic,CTRL-006,Incident Response,Jane Smith,2013-03-03,Fail,Low,Yes,Closed,79,Q1 2013,54,2013-04-05,Grace Mwangi,83,Awaiting vendor response
RC029,Finance,United,IT Security,CTRL-085,Incident Response,Lucy Wanjiku,2014-11-07,Fail,Low,Yes,Open,37,Q4 2014,69,2014-12-21,Grace Mwangi,65,Need system update
RC030,Finance,States,Compliance,CTRL-063,Physical Asset Protection,Peter Otieno,2013-04-01,Pass,,No,,0,Q2 2013,45,,,,Control design effective
RC031,Procurement,of,Strategic,CTRL-119,Vendor Approval Process,John Doe,2013-09-11,Fail,Medium,Yes,In Progress,50,Q3 2013,40,2013-10-12,Ali Hassan,87,No issues found
RC032,IT,America,Compliance,CTRL-031,Fraud Risk Assessment,Ali Hassan,2013-03-05,Fail,Medium,Yes,Open,120,Q1 2013,91,2013-06-03,Ali Hassan,28,Follow-up scheduled
RC033,IT,Canada,IT Security,CTRL-085,Access Review,John Doe,2014-01-27,Pass,,No,,0,Q1 2014,73,,,,Follow-up scheduled
RC034,Operations,United,Financial,CTRL-055,Incident Response,Peter Otieno,2013-12-04,Fail,High,Yes,Open,26,Q4 2013,37,2014-02-09,David Njoroge,17,No issues found
RC035,Legal,States,Strategic,CTRL-117,Access Review,Grace Mwangi,2013-05-29,Pass,,No,,0,Q2 2013,60,,,,Awaiting vendor response
RC036,Operations,of,Strategic,CTRL-093,Expense Authorization,Jane Smith,2013-11-22,Pass,,No,,0,Q4 2013,23,,,,No issues found
RC037,Procurement,America,IT Security,CTRL-039,AML Monitoring,Lucy Wanjiku,2014-10-15,Fail,Low,Yes,Open,13,Q4 2014,36,2014-11-25,Mary Achieng,97,Control design effective
